"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048741","skeletal muscle fiber development","1/6","38/18870",0.0120235894641979,0.0483672252401467,0.0174106183029707,"1827",1
"GO:0003016","respiratory system process","1/6","39/18870",0.0123383652959321,0.0483672252401467,0.0174106183029707,"9427",1
"GO:0060999","positive regulation of dendritic spine development","1/6","39/18870",0.0123383652959321,0.0483672252401467,0.0174106183029707,"23316",1
"GO:0071548","response to dexamethasone","1/6","39/18870",0.0123383652959321,0.0483672252401467,0.0174106183029707,"196541",1
"GO:0010742","macrophage derived foam cell differentiation","1/6","40/18870",0.0126530575485064,0.0483672252401467,0.0174106183029707,"338",1
"GO:0070884","regulation of calcineurin-NFAT signaling cascade","1/6","40/18870",0.0126530575485064,0.0483672252401467,0.0174106183029707,"1827",1
"GO:0090077","foam cell differentiation","1/6","41/18870",0.0129676662396752,0.0483672252401467,0.0174106183029707,"338",1
"GO:0090181","regulation of cholesterol metabolic process","1/6","41/18870",0.0129676662396752,0.0483672252401467,0.0174106183029707,"338",1
"GO:0106056","regulation of calcineurin-mediated signaling","1/6","41/18870",0.0129676662396752,0.0483672252401467,0.0174106183029707,"1827",1
"GO:0014904","myotube cell development","1/6","42/18870",0.0132821913871906,0.0483672252401467,0.0174106183029707,"1827",1
"GO:0061001","regulation of dendritic spine morphogenesis","1/6","42/18870",0.0132821913871906,0.0483672252401467,0.0174106183029707,"23316",1
"GO:0070296","sarcoplasmic reticulum calcium ion transport","1/6","43/18870",0.0135966330088004,0.0485953735314534,0.0174927442218485,"196541",1
"GO:0033173","calcineurin-NFAT signaling cascade","1/6","45/18870",0.0142252657452874,0.0499177507061902,0.0179687567308893,"1827",1
